anime_id,Titulo,Titulo en ingles,Titulo en japones,Link de portada,Tipo,Numero de episodios,Fechas de emision,Categoria,Puntuacion general,Posicionamiento,Popularidad,Miembros,Favoritos,Temporada de emision,Productores,Licencias,Estudio,Genero
36160,Yaoguai Mingdan 2nd Season,Sin Titulo,妖怪名单第2季,https://myanimelist.cdn-dena.com/images/anime/4/87461.jpg,ONA,21,"Aug 2, 2017 to Dec 29, 2017",R - 17+ (violence & profanity),8.06,482.0,6859,2001,19,Desconocida,Tencent Animation,Anonimo,Haoliners Animation League,"Action, Comedy, Romance, Fantasy"
37033,Emiya-san Chi no Kyou no Gohan,Today&#039;s Menu for the Emiya Family,衛宮さんちの今日のごはん,https://myanimelist.cdn-dena.com/images/anime/8/89981.jpg,ONA,0,"Dec 31, 2017 to ?",PG-13 - Teens 13 or older,7.59,1374.0,2331,25422,58,Desconocida,"Aniplex, Kadokawa",Aniplex of America,ufotable,"Slice of Life, Comedy"
3085,Koharu Biyori,Indian Summer,こはるびより,https://myanimelist.cdn-dena.com/images/anime/8/5074.jpg,OVA,3,"Oct 14, 2007 to Mar 21, 2008",R+ - Mild Nudity,6.73,4628.0,2968,16156,20,Desconocida,"ASCII Media Works, Showgate","ADV Films, Sentai Filmworks",Daume,"Ecchi, Comedy, Sci-Fi"
7053,Fault!!,Sin Titulo,フォルト!!,https://myanimelist.cdn-dena.com/images/anime/2/37371.jpg,OVA,3,"Nov 20, 2009 to May 20, 2011",Rx - Hentai,7.2,Desconocido,3185,14086,125,Desconocida,Cotton Doll,Anonimo,T-Rex,Hentai
13117,Hakuouki Movie 1: Kyoto Ranbu,Hakuoki ~Demon of the Fleeting Blossom~ Wild Dance of Kyoto,劇場版 薄桜鬼 第一章 京都乱舞,https://myanimelist.cdn-dena.com/images/anime/9/49399.jpg,Movie,1,"Aug 24, 2013",PG-13 - Teens 13 or older,7.86,779.0,2922,16682,67,Desconocida,"Geneon Universal Entertainment, Frontier Works, KlockWorx",Sentai Filmworks,Studio Deen,"Action, Historical, Supernatural, Drama, Samurai, Josei"
9119,Chirorin Mura Monogatari,Nutsberry Town,チロリン村物語,https://myanimelist.cdn-dena.com/images/anime/4/25274.jpg,TV,170,"Apr 6, 1992 to Mar 19, 1993",G - All Ages,6.73,4613.0,9484,510,1,Spring 1992,NHK,Anonimo,Anonimo,"Kids, Slice of Life"
36561,Doupo Cangqiong Specials,Sin Titulo,斗破苍穹 特别篇,https://myanimelist.cdn-dena.com/images/anime/2/88360.jpg,ONA,2,"Sep 30, 2017 to Oct 7, 2017",PG-13 - Teens 13 or older,6.91,3869.0,10597,278,0,Desconocida,"Tencent Penguin Pictures, China Literature Limited, Shanghai Motion Magic",Anonimo,Anonimo,"Action, Adventure, Demons, Fantasy"
10928,Nogizaka Haruka no Himitsu: Finale,Haruka Nogizaka&#039;s Secret: Finale,乃木坂春香の秘密 ふぃな～れ♪,https://myanimelist.cdn-dena.com/images/anime/12/74014.jpg,OVA,4,"Aug 19, 2012 to Nov 28, 2012",PG-13 - Teens 13 or older,7.4,2035.0,2351,25168,36,Desconocida,Anonimo,Anonimo,Diomedea,"Comedy, Romance"
1675,Transformers Micron Densetsu,Transformers Armada,超ロボット生命体トランスフォーマー マイクロン伝説,https://myanimelist.cdn-dena.com/images/anime/5/73871.jpg,TV,52,"Jan 10, 2003 to Dec 26, 2003",PG-13 - Teens 13 or older,6.8,4341.0,4562,5922,29,Winter 2003,Hasbro,Anonimo,Actas,"Action, Mecha, Sci-Fi, Shounen"
3869,Sakura Momoko Gekijou: Coji-Coji,Coji-Coji,さくらももこ劇場 コジコジ,https://myanimelist.cdn-dena.com/images/anime/13/6922.jpg,TV,100,"Oct 4, 1997 to Sep 25, 1999",G - All Ages,6.59,11937.0,10821,246,0,Fall 1997,Aniplex,Anonimo,Nippon Animation,"Fantasy, Comedy"
712,Zoids Genesis,Zoids Genesis,ゾイド ジェネシス,https://myanimelist.cdn-dena.com/images/anime/1/712.jpg,TV,50,"Apr 10, 2005 to Mar 26, 2006",PG - Children,7.34,2293.0,3496,11280,33,Spring 2005,Anonimo,Viz Media,Shogakukan Music &amp; Digital Entertainment,"Action, Adventure, Comedy, Mecha, Military"
32664,Bananya,Bananya,ばなにゃ,https://myanimelist.cdn-dena.com/images/anime/11/80200.jpg,TV,13,"Jul 4, 2016 to Sep 26, 2016",G - All Ages,6.79,4349.0,1945,34653,183,Summer 2016,"TMS Entertainment, DAX Production",Discotek Media,Gathering,"Slice of Life, Comedy, Kids"
961,Virtua Fighter,Sin Titulo,バーチャファイター,https://myanimelist.cdn-dena.com/images/anime/1/2234.jpg,TV,35,"Oct 9, 1995 to Jun 27, 1996",PG-13 - Teens 13 or older,7.13,3114.0,4829,5131,14,Fall 1995,"Aniplex, TMS Entertainment, Yomiko Advertising, Sega, Half H.P Studio, TV Tokyo Music, Sony Music Entertainment",Media Blasters,Tokyo Movie Shinsha,"Action, Adventure, Martial Arts, Comedy, Shounen"
31280,Selector Destructed WIXOSS Movie,Sin Titulo,劇場版 selector destructed WIXOSS,https://myanimelist.cdn-dena.com/images/anime/3/83118.jpg,Movie,1,"Feb 13, 2016",G - All Ages,7.31,2404.0,3337,12674,21,Desconocida,"Warner Bros., KlockWorx, Showgate, Hakuhodo DY Music &amp; Pictures",Anonimo,J.C.Staff,"Game, Psychological"
16059,Aku no Onna Kanbu: Full Moon Night,Evil Woman Executive: Full Moon Night,悪の女幹部 フルムーンナイト,https://myanimelist.cdn-dena.com/images/anime/2/43285.jpg,OVA,1,"Dec 21, 2012",Rx - Hentai,6.86,Desconocido,4806,5198,42,Desconocida,"T-Rex, Cotton Doll, Lune Pictures",Anonimo,Anonimo,"Hentai, Supernatural"
395,Gantz 2nd Stage,Gantz: Second Stage,ガンツ,https://myanimelist.cdn-dena.com/images/anime/10/23247.jpg,TV,13,"Aug 26, 2004 to Nov 18, 2004",R+ - Mild Nudity,7.22,2717.0,817,106389,403,Summer 2004,Fuji TV,"ADV Films, Funimation",Gonzo,"Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi"
33360,Code Geass: Boukoku no Akito 5 - Itoshiki Monotachi e Picture Drama,Sin Titulo,コードギアス 亡国のアキト 第5章 映像特典 「劇場予告」,https://myanimelist.cdn-dena.com/images/anime/5/80154.jpg,Special,1,"Apr 22, 2016",PG-13 - Teens 13 or older,6.78,4391.0,5367,3908,6,Desconocida,Anonimo,Anonimo,Anonimo,"Comedy, Military"
4421,Moetan Specials,Moetan,もえたん,https://myanimelist.cdn-dena.com/images/anime/9/15066.jpg,Special,2,"Dec 21, 2007 to Mar 25, 2008",R+ - Mild Nudity,6.59,5259.0,5093,4501,2,Desconocida,Anonimo,Anonimo,Actas,"Comedy, Ecchi, Magic, School"
